PLAYER;TEAM;AGE;GP;G;FREQ;FGM;FGA;FG%;EFG%;2FG FREQ;2FGM;2FGA;2FG%;3FG FREQ;3PM;3PA;3P%;NONE
Malaki Branham;SAS;20;48;47;100;3.2;7.5;42.2;48.2;59.4;2.3;4.5;50.9;40.6;0.9;3.0;29.6
Scotty Pippen Jr.;MEM;23;7;7;100;3.7;7.4;50.0;60.6;65.4;2.1;4.9;44.0;34.6;1.6;2.6;61.1
Derrick Rose;MEM;35;20;20;100;3.4;7.4;45.3;50.3;73.6;2.6;5.5;47.7;26.4;0.8;1.9;38.5
Obi Toppin;IND;25;54;54;100;4.2;7.4;56.6;65.0;58.1;2.9;4.3;68.4;41.9;1.2;3.1;40.1
Simone Fontecchio;DET;28;51;51;100;3.3;7.4;44.8;57.3;35.8;1.5;2.6;55.5;64.2;1.8;4.8;38.7
Derrick Jones Jr.;DAL;26;48;48;100;3.6;7.4;48.9;57.3;50.3;2.4;3.7;63.3;49.7;1.3;3.7;34.1
Ausar Thompson;DET;21;52;52;100;3.5;7.3;47.6;49.2;78.4;3.3;5.7;56.7;21.6;0.2;1.6;14.6
Jaden Hardy;DAL;21;48;48;100;3.0;7.3;40.6;50.0;48.9;1.6;3.6;44.4;51.1;1.4;3.7;37.0
Moritz Wagner;ORL;26;51;51;100;4.2;7.2;58.5;62.1;78.6;3.7;5.7;65.6;21.4;0.5;1.6;32.9
Alex Caruso;CHI;29;46;46;100;3.4;7.1;48.2;60.2;39.6;1.7;2.8;60.8;60.4;1.7;4.3;40.0
Josh Hart;NYK;28;52;52;100;3.0;7.1;42.0;48.2;58.6;2.1;4.1;50.4;41.4;0.9;2.9;30.1
Jakob Poeltl;TOR;28;42;42;100;4.8;7.0;68.8;68.8;100;4.8;7.0;68.8;0.0;0.0;0.0;
Josh Green;DAL;23;40;40;100;3.4;7.0;48.4;58.8;48.7;1.9;3.4;56.8;51.3;1.4;3.6;40.5
Ziaire Williams;MEM;22;44;41;100;2.7;7.0;39.2;47.2;49.0;1.6;3.4;47.2;51.0;1.1;3.5;31.3
